Respondent_ID,City,City_Tier,Gender,Age,Monthly_Household_Income,Education,Occupation,Skin_Type,Current_Monthly_Skincare_Spend_INR,Primary_Brand_Trust_Source,Eco_Awareness_Score_1to5,Willingness_to_Pay_Premium,Preferred_Ingredients,Preferred_Packaging,Products_Currently_Used,Preferred_Purchase_Channel,Purchase_Frequency,Satisfaction_Current_Brand_1to5,Likelihood_to_Switch_1to5,NPS_Score_0to10,Heard_of_Sustainable_Skincare,Trial_Intent,Ideal_Price_Point_30ml_Serum,Subscription_Interest,Primary_Social_Platform,Influencer_Trust_1to5,Certification_Importance,Income_Code,Education_Code,Purchase_Freq_Code,WTP_Premium_Code,Trial_Intent_Code,Subscription_Code,Certification_Code,Awareness_Code,City_Tier_Code,Price_Point_Code,NPS_Segment,Spend_Bucket,High_Eco_Aware,Switching_Risk,Positive_Trial_Intent,Age_Group
SKC0001,Chennai,Tier 1,Female,45,"₹25,000–₹50,000",Undergraduate,Student,Oily,590.0,Family / Friends,2.8,5–10%,Ayurvedic / Herbal,Biodegradable packaging,"Moisturiser, Cleanser",Amazon / Flipkart,Rarely,1,5,0.0,"Yes, aware but not tried",Probably not,₹300–₹600,Somewhat interested,YouTube,3.0,Important,2,2,1,1,2,3,3,1,1,2,Detractor,500-1000,0,1,0,45+
SKC0002,Mysuru,Tier 2,Female,37,"₹25,000–₹50,000",Undergraduate,Homemaker,Combination,1010.0,Dermatologist recommendation,2.7,11–20%,Chemical-free / Natural,Refillable containers,"Exfoliant, Cleanser, Serum, Face mask",Nykaa / Purplle,Monthly,3,4,6.0,"No, not aware",Definitely not,"₹600–₹1,000",Neutral,Instagram,3.0,Somewhat important,2,2,3,2,1,2,2,0,0,3,Detractor,1001-2000,0,1,0,35-44
SKC0003,Agra,Tier 2,Female,40,"Below ₹25,000",Undergraduate,Freelancer,Oily,150.0,Online reviews,2.5,5–10%,Ayurvedic / Herbal,Recycled/recyclable packaging,"Moisturiser, Toner, Sunscreen",Amazon / Flipkart,Weekly,4,1,7.0,"Yes, use such products",Probably would try,Below ₹300,Neutral,Snapchat,3.0,Important,1,2,5,1,4,2,3,2,0,1,Passive,<500,0,0,1,35-44
SKC0004,Pune,Tier 1,Female,36,"Below ₹25,000",Postgraduate,Student,Dry,260.0,Dermatologist recommendation,2.0,5–10%,Clinically tested actives,Minimalist paper packaging,"Moisturiser, Serum, Face mask, Eye cream, Exfoliant",Amazon / Flipkart,Monthly,4,1,8.0,"Yes, aware but not tried",Probably not,Below ₹300,Not interested,Instagram,1.0,Extremely important,1,3,3,1,2,1,4,1,1,1,Passive,<500,0,0,0,35-44
SKC0005,Ahmedabad,Tier 1,Female,20,"₹50,000–₹1,00,000",Undergraduate,Student,Oily,1410.0,Family / Friends,2.8,0%,Clinically tested actives,Biodegradable packaging,"Cleanser, Toner",Amazon / Flipkart,Every 2–3 months,2,4,2.0,"Yes, aware but not tried",Probably not,Below ₹300,Not interested,YouTube,3.0,Not important,3,2,2,0,2,1,1,1,1,1,Detractor,1001-2000,0,1,0,18-24
SKC0006,Chennai,Tier 1,Non-binary / Prefer not to say,30,"₹25,000–₹50,000",Undergraduate,Freelancer,Dry,880.0,Family / Friends,2.0,5–10%,Chemical-free / Natural,Refillable containers,"Face mask, Eye cream, Cleanser, Serum, Sunscreen",Amazon / Flipkart,Monthly,5,1,9.0,"No, not aware",Definitely not,"₹600–₹1,000",Somewhat interested,Pinterest,4.0,Important,2,2,3,1,1,3,3,0,1,3,Promoter,500-1000,0,0,0,25-34
SKC0007,Agra,Tier 2,Male,29,"Below ₹25,000",High School,Freelancer,Oily,370.0,Social media influencer,2.4,0%,Ayurvedic / Herbal,Biodegradable packaging,"Toner, Face mask",Amazon / Flipkart,Fortnightly,4,1,8.0,"Yes, use such products",Probably not,Below ₹300,Somewhat interested,Instagram,4.0,Important,1,1,4,0,2,3,3,2,0,1,Passive,<500,0,0,0,25-34
SKC0008,Kolkata,Tier 1,Male,28,"₹25,000–₹50,000",Postgraduate,Student,Oily,800.0,Brand website / ads,3.0,5–10%,Ayurvedic / Herbal,Refillable containers,"Serum, Exfoliant",Nykaa / Purplle,Monthly,1,4,1.0,"Yes, aware but not tried",Probably not,₹300–₹600,Not interested,Twitter/X,4.0,Extremely important,2,3,3,1,2,1,4,1,1,2,Detractor,500-1000,0,1,0,25-34
SKC0009,Nashik,Tier 2,Female,34,"₹25,000–₹50,000",Undergraduate,Student,Dry,690.0,Brand website / ads,2.5,0%,Chemical-free / Natural,Biodegradable packaging,"Exfoliant, Eye cream, Face mask, Cleanser, Sunscreen",Brand website (D2C),Weekly,4,3,5.0,"Yes, aware but not tried",Definitely not,₹300–₹600,Neutral,YouTube,3.0,Important,2,2,5,0,1,2,3,1,0,2,Detractor,500-1000,0,0,0,25-34
SKC0010,Mysuru,Tier 2,Male,23,"₹25,000–₹50,000",Postgraduate,Student,Oily,910.0,Online reviews,3.1,11–20%,No strong preference,No preference,"Toner, Face mask",Offline retail,Every 2–3 months,4,2,6.0,"Yes, aware but not tried",Definitely not,Below ₹300,Somewhat interested,Instagram,4.0,Extremely important,2,3,2,2,1,3,4,1,0,1,Detractor,500-1000,0,0,0,18-24
SKC0011,Ahmedabad,Tier 1,Female,25,"₹25,000–₹50,000",Postgraduate,Salaried – Private,Oily,770.0,Social media influencer,4.0,5–10%,Clinically tested actives,No preference,"Exfoliant, Eye cream, Face mask",Nykaa / Purplle,Rarely,5,2,10.0,"Yes, aware but not tried",Probably not,₹300–₹600,Somewhat interested,Twitter/X,3.0,Somewhat important,2,3,1,1,2,3,2,1,1,2,Promoter,500-1000,1,0,0,25-34
